ID,Title,Organization Name,City2,Province2,Date(s),Topics,Summary,Source Link,Image,Image Source Link
11,Edmonton Parade Route 1990,"[""Edmonton Pride Festival""]",Edmonton,AB,1990,"[""Parade Route Change""]","<span style=""color&#58;black;"">​During the 1980s, the Gay Lesbian Awareness Society (GALA) organized much of Pride. In 1990, GALA took a huge leap and organized the first Pride parade in Old Strathcona on Whyte Ave. &#160;The first Edmonton Pride was held in Old Strathcona in 1990, met with a rather cold reception. About 75 people marched along two blocks of Whyte Avenue </span><br>","""https://www.stalberttoday.ca/local-news/its-all-about-pride-1282138; http://www.gaycalgary.com/Magazine.aspx?id=92&article=2264"", ""https://www.stalberttoday.ca/local-news/its-all-about-pride-1282138; http://www.gaycalgary.com/Magazine.aspx?id=92&article=2264""",,
12,Edmonton U of A Awareness Week 1990,"[""GALOC University of Alberta""]",Edmonton,AB,"Feb. 28, 1990","[""Inaugural Pride Event""]","<span style=""color&#58;black;"">​GALOC, Gays and Lesbians on Campus, University of Alberta, Edmonton, will hold Gay and Lesbian Awareness Week March 12-18, 1990; &quot;with 15 events in seven days, this year's activities are the most ambitious in the six-year history of the club&quot;; information about GALOC]</span><br>","""https://library.usask.ca/srsd/perceptions/2396.html"", ""https://library.usask.ca/srsd/perceptions/2396.html""",,
13,Edmonton U of A Awareness Week 1990,"[""GALOC University of Alberta""]",Edmonton,AB,11-Apr-90,"[""Inaugural Pride Event""]","<span style=""color&#58;black;"">​University of Alberta week sponsored by Gays and Lesbians on Campus (GALOC), March 12-18, 1990; events; examples of protests of celebration; &quot;Pink Triangle Supplement&quot; to Gateway; etc</span><br>","""https://library.usask.ca/srsd/perceptions/2396.html"", ""https://library.usask.ca/srsd/perceptions/2396.html""",,
14,Edmonton Pride Dates and Locations 1990,"[""Edmonton Pride Festival""]",Edmonton,AB,"June 17 -24, 1990","[""Festival Dates""]","<span style=""color&#58;black;"">​<span>Dates&#58; June 17 - 24 <br></span><div>Location&#58; Old Strathcona&#160;</div></span>","""https://library.usask.ca/srsd/perceptions/965.html; http://www.gaycalgary.com/Magazine.aspx?id=92&article=2264"", ""https://library.usask.ca/srsd/perceptions/965.html; http://www.gaycalgary.com/Magazine.aspx?id=92&article=2264""",,
15,Edmonton Parade Route 1991,"[""Edmonton Pride Festival""]",Edmonton,AB,1991,"[""Parade Route Change""]","<span style=""color&#58;black;"">​<span>There would not be a pride parade until 1991 and it was not until June 26, 1993 that Edmonton’s Pride Parade was officially recognized by the Mayor and City. City Council had been denying requests from GALA (Gay and Lesbian Awareness Society) since 1984 for recognition. <br></span><div>&quot;[In the first parade] It was about 40 people walking down Whyte Avenue,&quot; recalls Michael Phair, &quot;15 of which were wearing bags over their heads.&quot; <br></div><div>The small group, some with bags on their heads to conceal their identities, walked without a permit for two blocks on Whyte Ave. from 105 St. to 103 St. <br></div><span></span></span><br>","""http://queerevents.ca/canada/pride/history; https://www.thestar.com/edmonton/2019/06/08/point-of-pride-the-evolution-of-the-lgbtq-movement-in-edmonton.html"", ""http://queerevents.ca/canada/pride/history; https://www.thestar.com/edmonton/2019/06/08/point-of-pride-the-evolution-of-the-lgbtq-movement-in-edmonton.html""",,
16,Edmonton Pride Attendance 1991,"[""Edmonton Pride Festival""]",Edmonton,AB,1991,"[""Attendance Record""]","<span style=""color&#58;black;"">​Attendance number not provided by researcher, who included this note&#58; There was no pride parade until 1991 and it was not until June 26, 1993 that Edmonton’s Pride Parade was officially recognized by the Mayor and City</span><br>","""https://www.queerevents.ca/queer-history/marches-festivals "", ""https://www.queerevents.ca/queer-history/marches-festivals """,,
17,Edmonton Political Events 1991,"[""Edmonton Pride Festival""]",Edmonton,AB,1991,"[""Political Event""]","<span style=""color&#58;black;"">​1991 is also the year Mayor Al Duerr famously proclaims gay pride week in Calgary but then denies future proclamations due to public pressure. The city was in a polarized uproar because Mayor Al Duerr, had gone out on a political limb and signed a proclamation declaring June 16-23, 1991 as the first “Gay Rights Week&quot;</span><br>","""https://calgarygayhistory.ca/tag/al-duerr/"", ""https://calgarygayhistory.ca/tag/al-duerr/""",,
18,Edmonton U of A Awareness Week 1991,"[""GALOC University of Alberta""]",Edmonton,AB,24-Apr-91,"[""Inaugural Pride Event""]","<span style=""color&#58;black;"">​at University of Alberta, March 11-15, 1991, organized by GALOC; summary of events</span><br>","""https://www.instagram.com/p/CMST5smr7c5/"", ""https://www.instagram.com/p/CMST5smr7c5/""",,
19,Edmonton Pride Dates and Locations 1992,"[""Edmonton Pride Festival""]",Edmonton,AB,"June ? – 27, 1992","[""Festival Dates""]","<span style=""color&#58;black;""></span></div><span></span><span>Dates&#58; June ? - 27 <br></span><div>Location&#58; Old Strathcona <br></div><span></span><div><br></div><span></span><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><span style=""color&#58;black;""><div></div></span>","""https://web.archive.org/web/20160304211525/http://www.canada.com/story.html?id=9646f6f0-5f43-4ec7-a276-19bae02961b1"", ""https://web.archive.org/web/20160304211525/http://www.canada.com/story.html?id=9646f6f0-5f43-4ec7-a276-19bae02961b1""",,
20,Edmonton Parade Route 1993,"[""Edmonton Pride Festival""]",Edmonton,AB,26-Jun-93,"[""Festival Dates"",""Parade Route Change""]","<span style=""color&#58;black;"">​No information found. Seems like source is for 1993 parade date?</span><br>","""https://www.proquest.com/canadiannews/docview/250585067/F8C120B2EF964CD8PQ/51"", ""https://www.proquest.com/canadiannews/docview/250585067/F8C120B2EF964CD8PQ/51""",,
